"ObsTime","avg_price_per_kg","vege_id","StnPres","Temperature","RH","WS","Precp","typhoon"
2022-01-01,63.78,20,1017.27,18.49,73.01,3.05,0.03,0
2022-01-01,72.64,60,978.47,16.80,76.86,1.34,0.03,0
2022-01-01,22.39,11,1022.40,17.70,74.00,3.80,0.00,0
2022-01-01,60.10,38,949.89,14.49,82.06,1.25,0.00,0
2022-01-01,86.75,24,1020.08,19.00,78.75,1.88,0.73,0
2022-01-01,36.43,44,994.91,16.84,82.90,1.63,1.03,0
2022-01-01,90.70,15,1016.58,17.06,76.34,3.04,0.00,0
2022-01-01,64.75,59,1022.80,17.40,79.00,4.00,0.00,0
2022-01-01,62.66,49,1021.53,18.03,73.27,3.69,0.01,0
2022-01-01,49.87,25,930.00,13.70,82.90,0.50,0.00,0
2022-01-01,34.73,40,1021.16,17.79,74.71,3.80,0.00,0
2022-01-01,162.35,26,999.18,16.72,76.95,2.49,0.00,0
2022-01-01,21.57,1,1017.76,17.47,75.06,3.22,0.00,0
2022-01-01,101.19,35,1022.40,17.70,74.00,3.80,0.00,0
2022-01-01,84.10,23,1022.63,17.48,77.51,3.71,0.11,0
2022-01-01,224.56,28,1022.05,17.62,76.30,3.89,0.00,0
2022-01-01,48.75,19,1022.40,17.70,74.00,3.80,0.00,0
2022-01-01,48.76,55,1013.88,17.98,73.95,3.00,0.01,0
2022-01-01,35.18,18,1022.54,17.54,76.86,3.91,0.00,0
2022-01-02,63.84,20,1015.60,18.69,74.18,3.21,0.06,0
2022-01-02,71.26,60,976.82,16.87,76.60,1.37,0.05,0
2022-01-02,17.61,11,1020.60,17.90,75.10,4.00,0.00,0
2022-01-02,52.18,38,948.03,14.61,79.50,1.59,0.00,0
2022-01-02,89.28,24,1018.80,19.43,78.41,1.75,0.78,0
2022-01-02,38.00,44,993.43,17.12,80.19,1.76,0.13,0
2022-01-02,80.74,15,1014.85,17.25,76.62,3.35,0.00,0
2022-01-02,63.69,59,1020.70,17.60,79.50,5.20,0.00,0
2022-01-02,74.29,49,1019.78,17.90,77.74,3.09,0.02,0
2022-01-02,51.86,25,928.20,13.80,79.50,0.60,0.00,0
2022-01-02,38.61,40,1019.45,17.72,79.61,3.29,0.00,0
2022-01-02,133.70,26,997.40,16.66,78.57,2.38,0.00,0
2022-01-02,25.63,1,1016.06,17.66,75.74,3.47,0.00,0
2022-01-02,90.86,35,1020.60,17.90,75.10,4.00,0.00,0
2022-01-02,87.00,23,1020.76,17.63,78.03,4.42,0.02,0
2022-01-02,179.00,28,1020.16,17.67,79.01,4.14,0.00,0
2022-01-02,80.88,19,1020.60,17.90,75.10,4.00,0.00,0
2022-01-02,40.08,55,1012.16,17.98,76.78,2.79,0.03,0
2022-01-02,33.12,18,1020.58,17.72,77.88,4.63,0.00,0
2022-01-03,15.00,20,1014.31,18.99,74.83,3.09,0.03,0
2022-01-03,79.57,60,975.78,17.38,76.44,1.29,0.03,0
2022-01-03,71.00,24,1017.51,19.81,77.16,1.74,0.06,0
2022-01-03,65.10,59,1019.60,17.90,80.00,4.80,0.00,0
2022-01-03,21.70,1,1014.66,18.11,75.81,3.40,0.00,0
2022-01-03,156.70,35,1019.20,18.20,76.40,3.90,0.00,0
2022-01-03,55.07,55,1010.94,18.33,76.76,2.71,0.01,0
2022-01-03,41.80,18,1019.35,18.01,78.60,4.36,0.00,0
2022-01-03,12.88,11,1019.20,18.20,76.40,3.90,0.00,0
2022-01-03,91.92,15,1013.47,17.80,76.32,3.30,0.00,0
2022-01-03,67.83,19,1019.20,18.20,76.40,3.90,0.00,0
2022-01-03,109.50,23,1019.50,18.04,78.59,4.17,0.00,0
2022-01-03,62.27,25,927.40,14.50,79.40,0.60,0.00,0
2022-01-03,207.40,26,996.23,17.12,78.73,2.30,0.00,0
2022-01-03,257.60,28,1018.95,17.95,79.06,3.95,0.00,0
2022-01-03,65.45,38,947.16,15.23,79.53,1.50,0.00,0
2022-01-03,41.47,40,1018.14,17.93,78.96,3.28,0.00,0
2022-01-03,47.00,44,992.24,17.66,80.57,1.73,0.27,0
2022-01-03,100.83,49,1018.55,18.22,77.54,3.08,0.01,0
2022-01-04,72.45,20,1013.31,19.41,78.57,2.58,0.64,0
2022-01-04,66.47,60,974.82,17.73,78.03,1.16,0.55,0
2022-01-04,23.70,11,1018.20,18.60,80.40,3.10,0.00,0
